START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: JF2XGF
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CLAIMED-SCORE: 22820
OPERATORS:
CLUB: SHIZUOKA DX RADIO ASSOCIATION
CREATED-BY: CTESTWIN by JI1AQY
NAME: JUNICHI OHASHI
SOAPBOX: Radio:FT-2000 VL-1000 1kW
SOAPBOX: Antennas:DP-80m,4ele-40m,6ele-20m,6ele-15m,5ele-10m
SOAPBOX: I sent the same serial number to two stations 3 times.
QSO: 28000 CW 2013-05-25 0736 JF2XGF        599 001    HS4DDQ        599 107    0
QSO: 28000 CW 2013-05-25 0741 JF2XGF        599 002    BY1CQ         599 186    0
QSO: 28000 CW 2013-05-25 0744 JF2XGF        599 003    A65BD         599 189    0
QSO: 28000 CW 2013-05-25 0750 JF2XGF        599 004    B7D           599 451    0
QSO: 28000 CW 2013-05-25 0835 JF2XGF        599 005    XV1X          599 297    0
QSO: 14000 CW 2013-05-25 0841 JF2XGF        599 006    NR6O          599 536    0
QSO: 28000 CW 2013-05-25 0904 JF2XGF        599 007    A65CA         599 220    0
QSO: 28000 CW 2013-05-25 0907 JF2XGF        599 008    BA8AG         599 202    0
QSO: 28000 CW 2013-05-25 0912 JF2XGF        599 009    VK4KW         599 236    0
QSO: 28000 CW 2013-05-25 0917 JF2XGF        599 010    A65BP         599 623    0
QSO: 28000 CW 2013-05-25 0922 JF2XGF        599 011    7Z1SJ         599 059    0
QSO: 28000 CW 2013-05-25 0926 JF2XGF        599 012    BH8BJO        599 123    0
QSO: 28000 CW 2013-05-25 0938 JF2XGF        599 013    HS0ZGQ        599 141    0
QSO: 28000 CW 2013-05-25 0956 JF2XGF        599 014    YG1CRR        599 077    0
QSO: 28000 CW 2013-05-25 0959 JF2XGF        599 015    YB2EUZ        599 113    0
QSO: 28000 CW 2013-05-25 1002 JF2XGF        599 016    D73A          599 160    0
QSO: 28000 CW 2013-05-25 1009 JF2XGF        599 017    ZS6C          599 022    0
QSO:  3500 CW 2013-05-25 1029 JF2XGF        599 018    VC7M          599 153    0
QSO:  3500 CW 2013-05-25 1033 JF2XGF        599 019    UA0ZAM        599 238    0
QSO:  3500 CW 2013-05-25 1038 JF2XGF        599 020    K0RF          599 242    0
QSO: 21000 CW 2013-05-25 1047 JF2XGF        599 021    YT9X          599 1033   0
QSO: 21000 CW 2013-05-25 1052 JF2XGF        599 022    SV2JAO        599 070    0
QSO: 28000 CW 2013-05-25 1109 JF2XGF        599 023    CW5W          599 294    0
QSO: 28000 CW 2013-05-25 1111 JF2XGF        599 024    ZS2NF         599 019    0
QSO: 28000 CW 2013-05-25 1118 JF2XGF        599 025    9M6ZAE        599 050    0
QSO:  3500 CW 2013-05-25 1142 JF2XGF        599 026    8J1ITU        599 030    0
QSO:  3500 CW 2013-05-25 1144 JF2XGF        599 027    ND2T          599 117    0
QSO:  3500 CW 2013-05-25 1146 JF2XGF        599 028    NR6O          599 213    0
QSO:  3500 CW 2013-05-25 1150 JF2XGF        599 029    NA0CW         599 281    0
QSO:  3500 CW 2013-05-25 1158 JF2XGF        599 030    WK5T          599 952    0
QSO:  3500 CW 2013-05-25 1201 JF2XGF        599 031    RT0C          599 042    0
QSO:  3500 CW 2013-05-25 1204 JF2XGF        599 032    R0FA          599 630    0
QSO: 28000 CW 2013-05-25 1212 JF2XGF        599 033    ZS1EL         599 142    0
QSO: 28000 CW 2013-05-25 1219 JF2XGF        599 034    LV6E          599 216    0
QSO: 28000 CW 2013-05-25 1221 JF2XGF        599 035    AY5F          599 385    0
QSO: 28000 CW 2013-05-25 1231 JF2XGF        599 036    LO5D          599 153    0
QSO: 14000 CW 2013-05-25 1337 JF2XGF        599 037    NN5J          599 771    0
QSO: 14000 CW 2013-05-25 1403 JF2XGF        599 038    ZF1A          599 1336   0
QSO: 14000 CW 2013-05-26 0449 JF2XGF        599 039    KW7Y          599 1464   0
QSO: 14000 CW 2013-05-26 0450 JF2XGF        599 040    W9WI          599 337    0
QSO: 14000 CW 2013-05-26 0457 JF2XGF        599 041    KU7T          599 1285   0
QSO: 14000 CW 2013-05-26 0458 JF2XGF        599 042    KG0F          599 1228   0
