START-OF-LOG: 3.0
CREATED-BY: TR Log POST Version 6.93
CALLSIGN: NT6K
CONTEST: CQ-WPX-CW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: PORTABLE
CATEGORY-TIME: 6-HOURS
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 7137
CLUB: NORTHERN CALIFORNIA CONTEST CLUB
NAME: RON ANGLE
OPERATORS: K6KYJ
SOAPBOX: This was the Fiasco in the Forest. Generator failed to produce
SOAPBOX: enough power to get beyond 65 watts output on either of two
SOAPBOX: transmitters. I think I need another hobby, one less stressful.
QSO:  7000 CW 2013-05-26 0453 NT6K          599      1 N5WR          599 479
QSO:  7000 CW 2013-05-26 0500 NT6K          599      2 NO7R          599 1301
QSO:  7000 CW 2013-05-26 0501 NT6K          599      3 N6HE          599 381
QSO:  7000 CW 2013-05-26 0503 NT6K          599      4 NR7DX         599 388
QSO:  7000 CW 2013-05-26 0503 NT6K          599      5 K9CT          599 716
QSO:  7000 CW 2013-05-26 0504 NT6K          599      6 KS7T          599 366
QSO:  7000 CW 2013-05-26 0512 NT6K          599      7 VC7M          599 626
QSO:  7000 CW 2013-05-26 0513 NT6K          599      8 KH6LC         599 673
QSO:  7000 CW 2013-05-26 0515 NT6K          599      9 AE5B          599 492
QSO:  7000 CW 2013-05-26 0515 NT6K          599     10 KX2P          599 455
QSO:  7000 CW 2013-05-26 0516 NT6K          599     11 AA3B          599 2043
QSO: 14000 CW 2013-05-26 1729 NT6K          599     12 KS7T          599 604
QSO: 21000 CW 2013-05-26 1733 NT6K          599     13 WQ5L          599 565
QSO: 21000 CW 2013-05-26 1741 NT6K          599     14 KC3R          599 2581
QSO: 21000 CW 2013-05-26 1743 NT6K          599     15 NR4M          599 1131
QSO: 21000 CW 2013-05-26 1743 NT6K          599     16 NY3A          599 2354
QSO: 21000 CW 2013-05-26 1744 NT6K          599     17 VB2T          599 2250
QSO: 21000 CW 2013-05-26 1745 NT6K          599     18 VE3EJ         599 2031
QSO: 21000 CW 2013-05-26 1746 NT6K          599     19 KQ2M          599 1172
QSO: 21000 CW 2013-05-26 1749 NT6K          599     20 KU2M          599 1357
QSO: 21000 CW 2013-05-26 1750 NT6K          599     21 XL3T          599 2809
QSO: 21000 CW 2013-05-26 1751 NT6K          599     22 VE3JM         599 2337
QSO: 21000 CW 2013-05-26 1753 NT6K          599     23 K3MD          599 1189
QSO: 21000 CW 2013-05-26 1754 NT6K          599     24 K4FJ          599 538
QSO: 21000 CW 2013-05-26 1800 NT6K          599     25 K4OV          599 313
QSO: 21000 CW 2013-05-26 1808 NT6K          599     26 K3LR          599 1711
QSO: 21000 CW 2013-05-26 1811 NT6K          599     27 K1AR          599 1197
QSO: 21000 CW 2013-05-26 1812 NT6K          599     28 NQ4I          599 2420
QSO: 21000 CW 2013-05-26 1815 NT6K          599     29 CR3A          599 4018
QSO: 21000 CW 2013-05-26 1815 NT6K          599     30 NR3X          599 977
QSO: 21000 CW 2013-05-26 1816 NT6K          599     31 KD4D          599 1073
QSO: 21000 CW 2013-05-26 1818 NT6K          599     32 N4KH          599 744
QSO: 21000 CW 2013-05-26 1820 NT6K          599     33 PJ4R          599 2076
QSO: 21000 CW 2013-05-26 1840 NT6K          599     34 WW4E          599 1446
QSO: 21000 CW 2013-05-26 1842 NT6K          599     35 VY2ZM         599 3028
QSO: 21000 CW 2013-05-26 1843 NT6K          599     36 K1LZ          599 2739
QSO: 21000 CW 2013-05-26 1844 NT6K          599     37 W3EF          599 1645
QSO: 21000 CW 2013-05-26 1845 NT6K          599     38 WC1M          599 1501
QSO: 21000 CW 2013-05-26 1846 NT6K          599     39 KY4F          599 1008
QSO: 21000 CW 2013-05-26 1848 NT6K          599     40 WX0B          599 2193
QSO: 21000 CW 2013-05-26 1849 NT6K          599     41 KX2P          599 295
QSO: 21000 CW 2013-05-26 1850 NT6K          599     42 K4EU          599 598
QSO: 21000 CW 2013-05-26 1855 NT6K          599     43 K3EL          599 1730
QSO: 21000 CW 2013-05-26 1859 NT6K          599     44 N5EA          599 277
