START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ WPX Contest Log 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: N5RB
LOCATION: MS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 30634
OPERATORS: N5RB
NAME: Richard Burgett
SOAPBOX: Had fun even with a broken antenna and limited operating time
QSO: 28020 CW 2013-05-25 1403 N5RB          599 001    NX5M          599 205    0
QSO: 28008 CW 2013-05-25 1740 N5RB          599 002    PY3XX         599 215    0
QSO: 28021 CW 2013-05-25 1745 N5RB          599 003    LU3EHR        599 436    0
QSO: 28045 CW 2013-05-25 1751 N5RB          599 004    PY1MX         599 182    0
QSO: 28042 CW 2013-05-25 1752 N5RB          599 005    PY4HO         599 514    0
QSO: 28026 CW 2013-05-25 1755 N5RB          599 006    PS2T          599 842    0
QSO: 28028 CW 2013-05-25 1757 N5RB          599 007    LU6UO         599 264    0
QSO: 28035 CW 2013-05-25 1758 N5RB          599 008    LU7HZ         599 219    0
QSO: 28024 CW 2013-05-25 1802 N5RB          599 009    ZX5J          599 888    0
QSO: 28018 CW 2013-05-25 1807 N5RB          599 010    AY5F          599 790    0
QSO: 21031 CW 2013-05-25 1848 N5RB          599 011    ND2T          599 273    0
QSO: 21016 CW 2013-05-25 1854 N5RB          599 012    J35X          599 422    0
QSO: 21020 CW 2013-05-25 1855 N5RB          599 013    HK1R          599 1533   0
QSO: 21028 CW 2013-05-25 1857 N5RB          599 014    P40A          599 1419   0
QSO: 21035 CW 2013-05-25 1900 N5RB          599 015    PJ4R          599 1165   0
QSO: 21038 CW 2013-05-25 1902 N5RB          599 016    NU5A          599 293    0
QSO: 21033 CW 2013-05-25 1912 N5RB          599 017    N5AW          599 795    0
QSO: 21024 CW 2013-05-25 1913 N5RB          599 018    CR2X          599 2682   0
QSO: 21017 CW 2013-05-25 1919 N5RB          599 019    EF8M          599 2028   0
QSO: 21014 CW 2013-05-25 1920 N5RB          599 020    PW7T          599 1326   0
QSO: 28013 CW 2013-05-25 1938 N5RB          599 021    KW7D          599 82     0
QSO: 28032 CW 2013-05-25 1941 N5RB          599 022    PJ2T          599 790    0
QSO: 28003 CW 2013-05-25 1948 N5RB          599 023    LV6E          599 526    0
QSO: 21029 CW 2013-05-25 1953 N5RB          599 024    W5VX          599 240    0
QSO: 14000 CW 2013-05-25 2011 N5RB          599 025    KJ3X          599 1171   0
QSO: 14001 CW 2013-05-25 2012 N5RB          599 026    DM6V          599 997    0
QSO: 14002 CW 2013-05-25 2014 N5RB          599 027    NY4A          599 1621   0
QSO: 14003 CW 2013-05-25 2016 N5RB          599 028    W5WMU         599 1289   0
