START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EUHFC
CALLSIGN: Z35G
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: Z35G
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EUHFC EUHFC/2015.
QSO: 14024 CW 2015-08-01 1209 Z35G          599 70 UA2FL         599 64
QSO: 14022 CW 2015-08-01 1210 Z35G          599 70 RQ7M          599 88
QSO: 14021 CW 2015-08-01 1211 Z35G          599 70 OH5TS         599 61
QSO: 14019 CW 2015-08-01 1213 Z35G          599 70 OL3Z          599 83
QSO: 14018 CW 2015-08-01 1214 Z35G          599 70 OK2CQR        599 98
QSO: 14018 CW 2015-08-01 1216 Z35G          599 70 S56A          599 62
QSO: 14000 CW 2015-08-01 1217 Z35G          599 70 RM1T          599 79
QSO: 14018 CW 2015-08-01 1217 Z35G          599 70 LY1CT         599 77
QSO: 14018 CW 2015-08-01 1217 Z35G          599 70 SM5CSS        599 60
QSO: 14000 CW 2015-08-01 1218 Z35G          599 70 OM3BA         599 58
QSO: 14018 CW 2015-08-01 1218 Z35G          599 70 LY2SA         599 68
QSO: 14018 CW 2015-08-01 1218 Z35G          599 70 SP7OGP        599 85
QSO: 14017 CW 2015-08-01 1219 Z35G          599 70 UA1CUR        599 04
QSO: 14018 CW 2015-08-01 1220 Z35G          599 70 OE1CIW        599 81
QSO: 14018 CW 2015-08-01 1221 Z35G          599 70 EU4CQ         599 75
QSO: 14018 CW 2015-08-01 1222 Z35G          599 70 RA1AP         599 12
QSO: 14000 CW 2015-08-01 1224 Z35G          599 70 OK2SWD        599 72
QSO: 14018 CW 2015-08-01 1224 Z35G          599 70 UW2M          599 84
QSO: 14018 CW 2015-08-01 1225 Z35G          599 70 HA5NR         599 66
QSO: 14000 CW 2015-08-01 1226 Z35G          599 70 S58KA         599 10
QSO: 14018 CW 2015-08-01 1226 Z35G          599 70 OK2FD         599 65
QSO: 14018 CW 2015-08-01 1228 Z35G          599 70 UT2UB         599 73
QSO: 14018 CW 2015-08-01 1229 Z35G          599 70 EW1EO         599 81
QSO: 14000 CW 2015-08-01 1231 Z35G          599 70 LY2QT         599 86
QSO: 14003 CW 2015-08-01 1232 Z35G          599 70 IY3A          599 02
QSO: 14006 CW 2015-08-01 1239 Z35G          599 70 UA4W          599 05
QSO: 14007 CW 2015-08-01 1240 Z35G          599 70 YL5X          599 88
QSO: 14009 CW 2015-08-01 1240 Z35G          599 70 LY4T          599 77
QSO: 14010 CW 2015-08-01 1241 Z35G          599 70 S53F          599 83
QSO: 14011 CW 2015-08-01 1241 Z35G          599 70 EW8EW         599 79
QSO: 14000 CW 2015-08-01 1243 Z35G          599 70 LY2NK         599 59
QSO: 14012 CW 2015-08-01 1243 Z35G          599 70 OP4K          599 82
QSO: 14013 CW 2015-08-01 1247 Z35G          599 70 YT5A          599 86
QSO: 14015 CW 2015-08-01 1250 Z35G          599 70 UA7K          599 79
QSO: 14017 CW 2015-08-01 1253 Z35G          599 70 RW3XM         599 80
QSO: 14018 CW 2015-08-01 1254 Z35G          599 70 UA4WI         599 80
QSO: 14018 CW 2015-08-01 1254 Z35G          599 70 UA4WI         599 80
QSO: 14019 CW 2015-08-01 1256 Z35G          599 70 G5LP          599 82
QSO: 14022 CW 2015-08-01 1259 Z35G          599 70 RG6G          599 89
QSO: 14022 CW 2015-08-01 1300 Z35G          599 70 OU2I          599 75
QSO: 14024 CW 2015-08-01 1300 Z35G          599 70 S53MM         599 92
QSO: 14024 CW 2015-08-01 1301 Z35G          599 70 EU6AF         599 82
QSO: 14025 CW 2015-08-01 1302 Z35G          599 70 PA0VAJ        599 73
QSO: 14027 CW 2015-08-01 1303 Z35G          599 70 SP4JCP        599 75
QSO: 14028 CW 2015-08-01 1304 Z35G          599 70 SP6GCU        599 63
QSO: 14028 CW 2015-08-01 1305 Z35G          599 70 IT9CHU        599 85
QSO: 14029 CW 2015-08-01 1306 Z35G          599 70 DC4A          599 81
QSO: 14030 CW 2015-08-01 1307 Z35G          599 70 LY3QA         599 82
QSO: 14000 CW 2015-08-01 1308 Z35G          599 70 EU3NA         599 75
QSO: 14030 CW 2015-08-01 1308 Z35G          599 70 UA3R          599 69
QSO: 14030 CW 2015-08-01 1309 Z35G          599 70 DL3KWF        599 58
QSO: 14030 CW 2015-08-01 1309 Z35G          599 70 DR1R          599 80
QSO: 14030 CW 2015-08-01 1310 Z35G          599 70 LY5R          599 75
QSO: 14030 CW 2015-08-01 1311 Z35G          599 70 UX1UF         599 01
QSO: 14030 CW 2015-08-01 1312 Z35G          599 70 LY2CO         599 75
QSO: 14030 CW 2015-08-01 1312 Z35G          599 70 UX1AA         599 82
QSO: 14030 CW 2015-08-01 1315 Z35G          599 70 SC3N          599 59
QSO: 14010 CW 2015-08-01 1316 Z35G          599 70 HA1SN         599 66
QSO: 14030 CW 2015-08-01 1319 Z35G          599 70 RW6K          599 74
QSO: 14030 CW 2015-08-01 1320 Z35G          599 70 UA2F          599 82
QSO: 14030 CW 2015-08-01 1322 Z35G          599 70 DJ2YA         599 38
