START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EUHFC
CALLSIGN: YU5M
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: YU5M
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EUHFC EUHFC/2015.
QSO: 14029 CW 2015-08-01 1209 YU5M          599 85 UT1AA         599 95
QSO: 14029 CW 2015-08-01 1211 YU5M          599 85 DL4CF         599 83
QSO: 14029 CW 2015-08-01 1211 YU5M          599 85 EU1U          599 87
QSO: 14000 CW 2015-08-01 1212 YU5M          599 85 R7KX          599 68
QSO: 14029 CW 2015-08-01 1213 YU5M          599 85 EW1FM         599 73
QSO: 14029 CW 2015-08-01 1213 YU5M          599 85 LY5I          599 84
QSO: 21016 CW 2015-08-01 1213 YU5M          599 78 HG1G          599 72
QSO: 14029 CW 2015-08-01 1215 YU5M          599 85 LY2SA         599 68
QSO: 14029 CW 2015-08-01 1215 YU5M          599 85 RV6LCI        599 90
QSO: 14000 CW 2015-08-01 1217 YU5M          599 85 EW8OF         599 75
QSO: 14100 CW 2015-08-01 1217 YU5M          599 85 EW4KA         599 91
QSO: 14006 CW 2015-08-01 1219 YU5M          599 85 UA4W          599 05
QSO: 14007 CW 2015-08-01 1220 YU5M          599 85 YL5X          599 88
QSO: 14015 CW 2015-08-01 1221 YU5M          599 85 UA7K          599 79
QSO: 14015 CW 2015-08-01 1222 YU5M          599 85 YT0Z          599 75
QSO: 14033 CW 2015-08-01 1236 YU5M          599 85 RA7A          599 72
QSO: 14019 CW 2015-08-01 1237 YU5M          599 85 G5LP          599 82
QSO: 14023 CW 2015-08-01 1240 YU5M          599 85 SN7O          599 75
QSO: 14013 CW 2015-08-01 1242 YU5M          599 85 UT4UQ         599 83
QSO: 14023 CW 2015-08-01 1243 YU5M          599 85 LY2BKT        599 82
QSO: 14023 CW 2015-08-01 1244 YU5M          599 85 PA9WOR        599 75
QSO: 14023 CW 2015-08-01 1244 YU5M          599 85 UR7QM         599 59
QSO: 14023 CW 2015-08-01 1244 YU5M          599 85 UT4LW         599 98
QSO: 14023 CW 2015-08-01 1245 YU5M          599 85 PA3DBS        599 82
QSO: 14023 CW 2015-08-01 1245 YU5M          599 85 R3OM          599 72
QSO: 14023 CW 2015-08-01 1246 YU5M          599 85 LY3B          599 83
QSO: 14023 CW 2015-08-01 1246 YU5M          599 85 SP4EOO        599 11
QSO: 14000 CW 2015-08-01 1247 YU5M          599 85 RM1T          599 79
QSO: 14023 CW 2015-08-01 1247 YU5M          599 85 UA3QAM        599 70
QSO: 14023 CW 2015-08-01 1248 YU5M          599 85 DL5AOJ        599 88
QSO: 14000 CW 2015-08-01 1249 YU5M          599 85 UW4E          599 94
QSO: 14023 CW 2015-08-01 1249 YU5M          599 85 SP2LNW        599 79
QSO: 14024 CW 2015-08-01 1249 YU5M          599 85 PA2W          599 85
QSO: 14023 CW 2015-08-01 1250 YU5M          599 85 RD9CX/6       599 81
QSO: 14023 CW 2015-08-01 1250 YU5M          599 85 UR4QRH        599 97
QSO: 14024 CW 2015-08-01 1250 YU5M          599 85 R7AB          599 82
QSO: 14023 CW 2015-08-01 1251 YU5M          599 85 DL1CW         599 79
QSO: 14023 CW 2015-08-01 1251 YU5M          599 85 LY2J          599 84
QSO: 14000 CW 2015-08-01 1252 YU5M          599 85 RU4A          599 79
QSO: 14023 CW 2015-08-01 1252 YU5M          599 85 UT2UB         599 73
QSO: 14024 CW 2015-08-01 1253 YU5M          599 85 PA3CVI        599 83
QSO: 14023 CW 2015-08-01 1254 YU5M          599 85 DJ6QT         599 60
QSO: 14023 CW 2015-08-01 1254 YU5M          599 85 UT1IM         599 76
QSO: 14023 CW 2015-08-01 1255 YU5M          599 85 R1DX          599 79
QSO: 14023 CW 2015-08-01 1255 YU5M          599 84 S52WD         599 80
QSO: 14023 CW 2015-08-01 1256 YU5M          599 85 LY2AJ         599 12
QSO: 14023 CW 2015-08-01 1256 YU5M          599 85 OL3Z          599 83
QSO: 14000 CW 2015-08-01 1257 YU5M          599 85 R7AC          599 72
QSO: 14023 CW 2015-08-01 1257 YU5M          599 85 LY2NY         599 81
QSO: 14023 CW 2015-08-01 1257 YU5M          599 85 RM2T          599 78
QSO: 14000 CW 2015-08-01 1258 YU5M          599 85 EW1TO         599 13
QSO: 14023 CW 2015-08-01 1258 YU5M          599 85 DL3KWF        599 58
QSO: 14023 CW 2015-08-01 1258 YU5M          599 85 EW8DX         599 65
QSO: 14023 CW 2015-08-01 1300 YU5M          599 85 UY5ZI         599 66
