START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EUHFC
CALLSIGN: S51DX
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: S51DX
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EUHFC EUHFC/2015.
QSO: 14017 CW 2015-08-01 1201 S51DX         599 81 UX1UF         599 01
QSO: 14016 CW 2015-08-01 1203 S51DX         599 81 EW1FM         599 73
QSO: 14016 CW 2015-08-01 1203 S51DX         599 81 R3QA          599 82
QSO: 14017 CW 2015-08-01 1203 S51DX         599 81 UC7A          599 83
QSO: 14016 CW 2015-08-01 1205 S51DX         599 81 RQ7M          599 88
QSO: 14016 CW 2015-08-01 1207 S51DX         599 81 EU1AI         599 77
QSO: 14016 CW 2015-08-01 1207 S51DX         599 81 G5LP          599 82
QSO: 14005 CW 2015-08-01 1208 S51DX         599 81 SP2AEK        599 59
QSO: 14017 CW 2015-08-01 1208 S51DX         599 81 RK4FM         599 83
QSO: 14017 CW 2015-08-01 1209 S51DX         599 81 EW1NA         599 95
QSO: 14016 CW 2015-08-01 1210 S51DX         599 81 UT5UJO        599 87
QSO: 14016 CW 2015-08-01 1212 S51DX         599 81 UI5F          599 80
QSO: 14017 CW 2015-08-01 1212 S51DX         599 81 UA5F          599 71
QSO: 14017 CW 2015-08-01 1212 S51DX         599 81 UA7G          599 69
QSO: 14000 CW 2015-08-01 1213 S51DX         599 81 LZ2CH         599 90
QSO: 14017 CW 2015-08-01 1213 S51DX         599 81 LZ2ZG         599 85
QSO: 14016 CW 2015-08-01 1214 S51DX         599 81 SP2MHD        599 80
