START-OF-LOG: 3.0
CALLSIGN: ZS6DX
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE:
CLUB:
LOCATION: DX
CREATED-BY: CQWPX Adif2Cabrillo Converter (LZ2FQ)
NAME: Rudi Venter
OPERATORS: ZS6DX
SOAPBOX: Always great to meet all the great contesters on the air.
QSO: 21007 CW 2015-05-30 0812  ZS6DX         599 068    YT6A          599 438    0
QSO: 21030 CW 2015-05-30 0816  ZS6DX         599 069    SM5DYC        599 064    0
QSO: 21009 CW 2015-05-30 0825  ZS6DX         599 070    A42A          599 617    0
QSO: 21074 CW 2015-05-30 0833  ZS6DX         599 071    OH3Z          599 009    0
QSO: 21056 CW 2015-05-30 0911  ZS6DX         599 072    R5WW          599 350    0
QSO: 21025 CW 2015-05-30 0912  ZS6DX         599 073    LY2W          599 342    0
QSO: 21037 CW 2015-05-30 0914  ZS6DX         599 074    SN7Q          599 600    0
QSO: 21064 CW 2015-05-30 0919  ZS6DX         599 075    7Z1SJ         599 655    0
QSO: 21014 CW 2015-05-30 0923  ZS6DX         599 076    R8CT          599 759    0
QSO: 21019 CW 2015-05-30 0931  ZS6DX         599 077    OL7C          599 771    0
QSO: 21046 CW 2015-05-30 0934  ZS6DX         599 078    YL9T          599 777    0
QSO: 21060 CW 2015-05-30 0940  ZS6DX         599 079    CU4DX         599 1121   0
QSO: 21061 CW 2015-05-30 0942  ZS6DX         599 080    MM0AMW        599 030    0
QSO: 21078 CW 2015-05-30 0947  ZS6DX         599 081    OK1DG         599 228    0
QSO: 21079 CW 2015-05-30 0948  ZS6DX         599 082    YP5A          599 456    0
QSO: 21096 CW 2015-05-30 0950  ZS6DX         599 083    SU9IG         599 172    0
QSO: 21012 CW 2015-05-30 0954  ZS6DX         599 084    4U5F          599 1075   0
QSO: 21026 CW 2015-05-30 0957  ZS6DX         599 085    4O90A         599 1023   0
QSO: 21042 CW 2015-05-30 1001  ZS6DX         599 086    9A5D          599 850    0
QSO: 21047 CW 2015-05-30 1002  ZS6DX         599 087    SW9AA         599 1126   0
QSO: 21049 CW 2015-05-30 1004  ZS6DX         599 088    AO150O        599 009    0
QSO: 21057 CW 2015-05-30 1006  ZS6DX         599 089    SQ5IRO        599 120    0
QSO: 21016 CW 2015-05-30 1018  ZS6DX         599 090    G2F           599 679    0
