START-OF-LOG: 3.0
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
LOCATION: DX
CONTEST: CQ-WPX-CW
CALLSIGN: F3WT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 2880
OPERATORS:  
CLUB:
NAME: Pierre Rothenburger
SPECIFIC:
SOAPBOX: one of my numbers as been dupped (030 inadvertently given twice)
QSO: 14000 CW 2015-05-30 1705 F3WT          599 001    B4L           599 665    0
QSO: 14000 CW 2015-05-30 1711 F3WT          599 002    JH1GBZ        599 1021   0
QSO: 14000 CW 2015-05-30 1735 F3WT          599 003    B7Q           599 362    0
QSO: 14000 CW 2015-05-30 1740 F3WT          599 004    JH3CTQ        599 1117   0
QSO: 14000 CW 2015-05-30 1744 F3WT          599 005    JT5DX         599 1549   0
QSO: 14000 CW 2015-05-30 1751 F3WT          599 006    VU3KPL        599 204    0
QSO: 14000 CW 2015-05-30 1847 F3WT          599 007    RA0R          599 1024   0
QSO: 14000 CW 2015-05-30 1853 F3WT          599 008    BY5CD         599 460    0
QSO: 14000 CW 2015-05-30 1857 F3WT          599 009    TM1A          599 1393   0
QSO: 14000 CW 2015-05-30 1902 F3WT          599 010    WM3T          599 1314   0
QSO: 14000 CW 2015-05-30 1910 F3WT          599 011    JA9CWJ        599 339    0
QSO: 14000 CW 2015-05-30 1914 F3WT          599 012    VK3JA         599 652    0
QSO: 14000 CW 2015-05-30 1917 F3WT          599 013    FY5FY         599 918    0
QSO: 14000 CW 2015-05-30 1926 F3WT          599 014    8J1ITU        599 402    0
QSO:  7000 CW 2015-05-30 1951 F3WT          599 015    VK3JA         599 113    0
QSO: 14000 CW 2015-05-30 2002 F3WT          599 016    VK3JA         599 691    0
QSO: 21000 CW 2015-05-31 1037 F3WT          599 017    WR1ST         599 1615   0
QSO: 21000 CW 2015-05-31 1043 F3WT          599 018    JT5DX         599 2372   0
QSO: 21000 CW 2015-05-31 1044 F3WT          599 019    JY9FC         599 2034   0
QSO: 21000 CW 2015-05-31 1051 F3WT          599 020    RW0CN         599 1532   0
QSO: 21000 CW 2015-05-31 1531 F3WT          599 021    W9RE          599 2698   0
QSO: 21000 CW 2015-05-31 1544 F3WT          599 022    AI1D          599 408    0
QSO: 21000 CW 2015-05-31 1550 F3WT          599 023    BY5CD         599 2020   0
QSO: 21000 CW 2015-05-31 1928 F3WT          599 024    PX2A          599 2063   0
QSO: 21000 CW 2015-05-31 1931 F3WT          599 025    PP1CZ         599 1025   0
QSO: 21000 CW 2015-05-31 1940 F3WT          599 026    LW1EUD        599 343    0
QSO: 21000 CW 2015-05-31 1949 F3WT          599 027    K3PA          599 2063   0
QSO: 21000 CW 2015-05-31 1955 F3WT          599 028    PJ2T          599 2209   0
QSO: 21000 CW 2015-05-31 1958 F3WT          599 029    VY2TT         599 3560   0
QSO: 21000 CW 2015-05-31 2010 F3WT          599 030    J35X          599 354    0
QSO: 21000 CW 2015-05-31 2014 F3WT          599 030    E7DX          599 2539   0
QSO: 21000 CW 2015-05-31 2020 F3WT          599 031    TO5Y          599 3329   0
QSO: 21000 CW 2015-05-31 2029 F3WT          599 032    CX2BR         599 1147   0
QSO: 21000 CW 2015-05-31 2036 F3WT          599 033    CR6K          599 2207   0
QSO: 21000 CW 2015-05-31 2050 F3WT          599 034    L33M          599 623    0
END-OF-LOG:
