START-OF-LOG: 3.0
CALLSIGN: JR1LLD
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: CW
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 1188
CREATED-BY: Handwritten
LOCATION: DX
NAME: Masanao SHINOHARA
OPERATORS: JR1LLD
SOAPBOX: Rig: The KD1JV Tri-bander (assembly kit from Hendricks QRP kits,Inc.)
SOAPBOX: Power: 5 W, ANT: Full-size dipole on veranda at 11mH.
QSO: 21022 CW 2015-05-30 0208 JR1LLD 599  001 7J1YAJ   599  169
QSO: 21000 CW 2015-05-30 0255 JR1LLD 599  002 8N3HC/3  599   95
QSO: 21032 CW 2015-05-30 0402 JR1LLD 599  003 VR2CO    599  166
QSO: 21025 CW 2015-05-30 0446 JR1LLD 599  004 UZ2M     599  737
QSO: 21041 CW 2015-05-30 0642 JR1LLD 599  005 ES9C     599  943
QSO: 21046 CW 2015-05-30 0755 JR1LLD 599  006 KH7XX    599  968
QSO: 21065 CW 2015-05-30 0831 JR1LLD 599  007 DL65DARC 599  222
QSO: 21036 CW 2015-05-30 0913 JR1LLD 599  008 TM2Y     599  856
QSO: 21060 CW 2015-05-30 0923 JR1LLD 599  009 PI25COM  599  155
QSO: 21009 CW 2015-05-30 1038 JR1LLD 599  010 CR3A     599 1438
QSO: 21060 CW 2015-05-30 1111 JR1LLD 599  011 OG73X    599  981
QSO: 21029 CW 2015-05-30 1323 JR1LLD 599  012 EI1Y     599  833
QSO: 21008 CW 2015-05-30 1331 JR1LLD 599  013 CT3EE    599  705
QSO: 21050 CW 2015-05-30 1344 JR1LLD 599  014 C31XR    599 1257
QSO: 21038 CW 2015-05-30 1431 JR1LLD 599  015 E7DX     599 1228
QSO: 21048 CW 2015-05-30 1504 JR1LLD 599  016 SW9AA    599 1750
QSO: 21021 CW 2015-05-30 2243 JR1LLD 599  017 K9CT     599  807
QSO: 21033 CW 2015-05-31 0033 JR1LLD 599  018 8N1ZUA   599   18
QSO: 21004 CW 2015-05-31 0052 JR1LLD 599  019 JA6WFM   599  612
QSO: 21041 CW 2015-05-31 0203 JR1LLD 599  020 JR6CSY   599  111
QSO: 21021 CW 2015-05-31 0351 JR1LLD 599  021 ZL1AIH   599  881
QSO: 21062 CW 2015-05-31 0647 JR1LLD 599  022 IB9T     599 2762
END-OF-LOG:
