START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: EA3WL
CLUB: 
CONTEST: EA-MAJESTAD-SSB
CATEGORY: CHECKLOG
CLAIMED-SCORE: 0
OPERATORS: EA3WL
NAME: NURIA FONT I SOLER
SOAPBOX: No pudimos hacer el concurso entero, por lo que decidimos participar en modalidad "lista
SOAPBOX: de comprobación". A ver si el año que viene hay mejor suerte.
SOAPBOX: 
SOAPBOX: Saludos a todos
CREATED-BY: WinURECon 3.9 (Windows 7 64 bits)
QSO: 28000 PH 2016-06-26 0831 EA3WL         59  B      EF0R          59  SMR
QSO: 28000 PH 2016-06-26 0831 EA3WL         59  B      EA4IF         59  TO
QSO: 28000 PH 2016-06-26 0832 EA3WL         59  B      EC7AL         59  AL
QSO: 28000 PH 2016-06-26 0833 EA3WL         59  B      EB7HQE        59  J
QSO: 28000 PH 2016-06-26 0834 EA3WL         59  B      ED9K          59  CE
QSO: 28000 PH 2016-06-26 0835 EA3WL         59  B      EA5FIV        59  A
QSO: 28000 PH 2016-06-26 0838 EA3WL         59  B      EA5EJ         59  A
QSO: 28000 PH 2016-06-26 0838 EA3WL         59  B      EA4ZM         59  BA
QSO: 28000 PH 2016-06-26 0840 EA3WL         59  B      EA7GV         59  GR
QSO: 28000 PH 2016-06-26 0840 EA3WL         59  B      EB5AF         59  A
QSO: 28000 PH 2016-06-26 0841 EA3WL         59  B      ED7O          59  J
QSO: 28000 PH 2016-06-26 0842 EA3WL         59  B      EA1FCH        59  LU
QSO: 28000 PH 2016-06-26 0843 EA3WL         59  B      EA9IB         59  ML
QSO: 28000 PH 2016-06-26 0845 EA3WL         59  B      EE5O          59  B
QSO: 28000 PH 2016-06-26 0846 EA3WL         59  B      EA5LD         59  V
QSO: 28000 PH 2016-06-26 0847 EA3WL         59  B      EA3NN         59  T
QSO: 28000 PH 2016-06-26 0850 EA3WL         59  B      EA5EV         59  MU
QSO: 28000 PH 2016-06-26 0851 EA3WL         59  B      EA5IJG        59  MU
QSO: 28000 PH 2016-06-26 0852 EA3WL         59  B      EA7GI         59  H
QSO: 28000 PH 2016-06-26 0853 EA3WL         59  B      ED1V          59  PO
QSO: 28000 PH 2016-06-26 0854 EA3WL         59  B      EA7JPL        59  CA
QSO: 28000 PH 2016-06-26 0857 EA3WL         59  B      EF3A          59  T
QSO: 28000 PH 2016-06-26 0859 EA3WL         59  B      EA7ANC        59  GR
QSO: 21000 PH 2016-06-26 0901 EA3WL         59  B      EA7ITL        59  CA
QSO: 21000 PH 2016-06-26 0902 EA3WL         59  B      EC7WR         59  CO
QSO: 21000 PH 2016-06-26 0904 EA3WL         59  B      EF0F          59  SMR
QSO:  7000 PH 2016-06-26 0908 EA3WL         59  B      EF0F          59  SMR
QSO: 14000 PH 2016-06-26 0910 EA3WL         59  B      EF0F          59  SMR
QSO: 14000 PH 2016-06-26 0913 EA3WL         59  B      EA4GOK        59  M
QSO: 14000 PH 2016-06-26 0914 EA3WL         59  B      EE5T          59  V
QSO: 14000 PH 2016-06-26 0915 EA3WL         59  B      EA8DEM        59  TF
QSO: 21000 PH 2016-06-26 0922 EA3WL         59  B      EA7ANC        59  GR
QSO: 21000 PH 2016-06-26 0923 EA3WL         59  B      ED7R          59  CA
QSO: 21000 PH 2016-06-26 0924 EA3WL         59  B      ED7O          59  J
QSO: 21000 PH 2016-06-26 0928 EA3WL         59  B      EA7AN         59  SE
QSO: 28000 PH 2016-06-26 0933 EA3WL         59  B      EA3FZT        59  B
QSO: 21000 PH 2016-06-26 0938 EA3WL         59  B      EB7HQE        59  J
QSO: 21000 PH 2016-06-26 0950 EA3WL         59  B      EA7RU         59  MA
QSO: 21000 PH 2016-06-26 0952 EA3WL         59  B      ED9K          59  CE
QSO:  7000 PH 2016-06-26 1014 EA3WL         59  B      EA5RC         59  CS
QSO: 21000 PH 2016-06-26 1024 EA3WL         59  B      EA8CQQ        59  GC
QSO: 21000 PH 2016-06-26 1026 EA3WL         59  B      EA7PP         59  SE
QSO:  7000 PH 2016-06-26 1051 EA3WL         59  B      EA2EZ         59  Z
END-OF-LOG: 



