START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
X-VERSION:     SD V17.54  :  SDCHECK V17.54  :  Template QKOS.TPL
CONTEST: EA-MAJESTAD-SSB
CALLSIGN:      IW2NEF
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-STATION:  FIXED
CATEGORY-POWER: 
CATEGORY-ASSISTED:  NON-ASSISTED
CATEGORY-TRANSMITTER:  ONE
CLAIMED-SCORE: 1653
NAME:          Flavio Pelucchi
OPERATORS:     IW2NEF
X-RADIOS:      yaesu ft857
X-ANTENNAS:    fishing rod 10m vertical + inverted v end feed
QSO: 21000 PH 2016-06-25 1410 IW2NEF        59   001   EA2RCP        59  CA
QSO: 21000 PH 2016-06-25 1411 IW2NEF        59   002   EA5FIV        59  A
QSO: 21000 PH 2016-06-25 1412 IW2NEF        59   003   EA3FZT        59  B
QSO: 21000 PH 2016-06-25 1414 IW2NEF        59   004   EB3CW         59  B
QSO: 21000 PH 2016-06-25 1416 IW2NEF        59   005   EA5GX         59  CS
QSO: 21000 PH 2016-06-25 1419 IW2NEF        59   006   EF0F          59  SM
QSO: 28000 PH 2016-06-25 1420 IW2NEF        59   007   EB5AF         59  A
QSO: 28000 PH 2016-06-25 1421 IW2NEF        59   008   EA1HVY        59  A
QSO: 28000 PH 2016-06-25 1424 IW2NEF        59   009   EA2NS         59  NA
QSO: 28000 PH 2016-06-25 1425 IW2NEF        59   010   EE4EA         59  GU
QSO: 28000 PH 2016-06-25 1427 IW2NEF        59   011   EA5DM         59  A
QSO: 14000 PH 2016-06-25 1431 IW2NEF        59   012   EA2EZ         59  Z
QSO: 14000 PH 2016-06-25 1433 IW2NEF        59   013   EA3NN         59  T
QSO: 28000 PH 2016-06-25 1440 IW2NEF        59   014   ED7O          59  J
QSO: 28000 PH 2016-06-25 1441 IW2NEF        59   015   ED9K          59  CE
QSO: 28000 PH 2016-06-25 1442 IW2NEF        59   016   EF3A          59  T
QSO: 28000 PH 2016-06-25 1443 IW2NEF        59   017   EE5O          59  A
QSO: 28000 PH 2016-06-25 1445 IW2NEF        59   018   EA5FIV        59  A
QSO: 21000 PH 2016-06-25 1450 IW2NEF        59   019   ED5P          59  A
QSO: 21000 PH 2016-06-25 1452 IW2NEF        59   020   ED5W          59  A
QSO: 21000 PH 2016-06-25 1453 IW2NEF        59   021   EB2AM         59  BI
QSO: 21000 PH 2016-06-25 1454 IW2NEF        59   022   EF3A          59  T
QSO: 21000 PH 2016-06-25 1457 IW2NEF        59   023   EA3HJO        59  B
QSO: 14000 PH 2016-06-25 1505 IW2NEF        59   024   EA7ITL        59  CA
QSO: 14000 PH 2016-06-25 1510 IW2NEF        59   025   EF3A          59  T
QSO: 14000 PH 2016-06-25 1512 IW2NEF        59   026   EA3EZD        59  B
QSO: 14000 PH 2016-06-25 1514 IW2NEF        59   027   EA5KV         59  V
QSO: 14000 PH 2016-06-25 1522 IW2NEF        59   028   EC7WA         59  H
QSO: 14000 PH 2016-06-25 1524 IW2NEF        59   029   EA3MP         59  B
QSO: 14000 PH 2016-06-25 1526 IW2NEF        59   030   EA4SE         59  CR
END-OF-LOG: 
